regime,acq,seed,round,context_size,var_a,err_a,pred_rmse,logdet_A,dlogdet_A,cos_ainv_top,cv_ig,gap,acq_score
E1_wellposed,random,1000,0,6,0.002009827858138676,0.05884443103281872,0.7678370117750529,24.054305728282106,0.0,0.5287504172278593,0.6315061905701824,0.056834603174680046,0.0
E1_wellposed,random,1000,1,7,0.0019434843884425764,0.05424227540155224,0.7798490681627396,26.017393371363408,1.9630876430813018,0.6302147285832881,0.638225582652299,0.05229879101310966,0.0
E1_wellposed,random,1000,2,8,0.001941612040613562,0.016615151069345524,0.7700986479757769,26.551456113603063,0.5340627422396551,0.6315600673094469,0.6336691393902903,0.014673539028731962,0.0
E1_wellposed,random,1000,3,9,0.001938597068645859,0.019741411977307888,0.7723222123858791,27.4776777144545,0.9262216008514379,0.6767463425898385,0.6347860310988143,0.017802814908662028,0.0
E1_wellposed,random,1000,4,10,0.0019073499430443223,0.0686431921171704,0.7928646760841696,33.17513510832745,5.697457393872952,0.5065784402296508,0.7589419846400148,0.06673584217412608,0.0
E1_wellposed,random,1000,5,11,0.001718575764322972,0.367133604982659,0.5546728751833532,38.8170741834555,5.64193907512805,0.4566990339728738,0.8081220293489921,0.365415029218336,0.0
E1_wellposed,random,1000,6,12,0.0012354882004744236,0.44151583245691395,0.5261902261853477,44.18047931805649,5.363405134600988,0.4824404581159909,0.971905575733591,0.4402803442564395,0.0
E1_wellposed,random,1000,7,13,0.001226312621628597,0.5063262567271081,0.5256587989302859,44.59052391277064,0.4100445947141509,0.48264427902313184,0.9683637957372456,0.5050999441054794,0.0
E1_wellposed,random,1000,8,14,0.0011815404383662869,0.40867267035370003,0.4599264138037012,50.10046092135525,5.5099370085846076,0.6145927641419747,1.216396999447028,0.40749112991533376,0.0
E1_wellposed,random,1000,9,15,0.0011811889923486016,0.3944778450017149,0.2900206151270974,53.14861527672344,3.0481543553681902,0.8844403395371828,1.6705237569100948,0.3932966560093663,0.0
E1_wellposed,random,1000,10,16,0.0011802378799024348,0.3831377224775906,0.2958866959545805,53.55823377343881,0.40961849671536754,0.8850795325418277,1.6686776760422433,0.38195748459768813,0.0
E1_wellposed,random,1000,11,17,0.0011674089755229619,0.3620112441758446,0.26794150754123697,55.79250091231826,2.234267138879453,0.8967253976615555,1.7368944842220893,0.36084383520032165,0.0
E1_wellposed,random,1000,12,18,0.0011587577929371344,0.3444928253448424,0.26767710175748693,56.31448858708012,0.5219876747618599,0.8984766495481065,1.7375240313883122,0.34333406755190526,0.0
E1_wellposed,random,1000,13,19,0.0011408394010013379,0.3902800530931012,0.26238003382850567,57.039128781313266,0.724640194233146,0.9024809320888814,1.7514154689477723,0.38913921369209986,0.0
E1_wellposed,random,1000,14,20,0.0011395188181189655,0.3450729432074724,0.258836234417065,57.757816386149734,0.7186876048364681,0.9029556027625775,1.7519529797921216,0.3439334243893534,0.0
E1_wellposed,random,1000,15,21,0.0006424745177286813,0.3803180733864543,0.2648542975731197,63.54438957120539,5.7865731850556585,0.8315544597513305,1.2621991057864637,0.3796755988687256,0.0
E1_wellposed,random,1000,16,22,0.0006378839700033499,0.42743891423411384,0.1910185363247607,67.6548015053989,4.1104119341935,0.7741955827234986,1.2129761336594218,0.4268010302641105,0.0
E1_wellposed,random,1000,17,23,0.0006375528192189434,0.4259932080348807,0.19010851054497085,68.01030795392231,0.35550644852341406,0.7737085596578175,1.2125011086288338,0.42535565521566177,0.0
E1_wellposed,random,1000,18,24,0.0006368995815110441,0.42472509863987784,0.19160737095534036,69.42313450806665,1.4128265541443454,0.8724091493158901,1.2982032156040522,0.4240881990583668,0.0
E1_wellposed,random,1000,19,25,0.0005505671413514354,0.5827901748105329,0.24060792454120092,70.35940886458928,0.936274356522631,0.8614731920757365,1.2661102521336178,0.5822396076691814,0.0
E1_wellposed,random,1000,20,26,0.00031065864239810634,0.09972259035023384,0.07535517924497866,72.85124059103427,2.4918317264449854,0.46791648787788964,1.25265616025806,0.09941193170783573,0.0
E1_wellposed,random,1000,21,27,0.0003048425607490002,0.15954398070842069,0.0856776096112695,73.23185996617876,0.38061937514449085,0.48260832782181184,1.2534642064713843,0.15923913814767168,0.0
E1_wellposed,random,1000,22,28,0.00030448636199434793,0.1462041763739459,0.08436771148153832,73.52416414601176,0.29230417983299617,0.4666176637209476,1.2537156486921435,0.14589969001195155,0.0
E1_wellposed,random,1000,23,29,0.0002558560995152018,0.3291268135311147,0.11583513992075456,75.07693706894892,1.5527729229371658,0.5052563159932641,1.3857873791471262,0.3288709574315995,0.0
E1_wellposed,random,1000,24,30,0.00025108036203129154,0.4201971943252457,0.1260555817736546,76.71940255657064,1.6424654876217204,0.7028266154409772,1.541207415592226,0.4199461139632144,0.0
E1_wellposed,random,1000,25,31,0.000249552104871048,0.39840024411832375,0.1215771006538577,77.17975845992007,0.46035590334942356,0.7028344015621124,1.567588005178464,0.3981506920134527,0.0
